Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00023692,0.21917,-0.10631,0,0,0,5.6969,0.064224,-1.3298E-07,4.0684E-05,0.1029,0.00031114,0.048325,0,0,0,0,0,0,package://description/meshes/base_link.STL,0,0.81961,0,1,0,0,0,0,0,0,package://description/meshes/base_link.STL,,MR_2_body-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
camera_link,0.049837,0.044198,0.059634,0,0,0,0.084224,1.3967E-05,-8.8446E-10,-1.0097E-09,3.636E-05,-1.5815E-06,3.0481E-05,0,0,0,0,0,0,package://description/meshes/camera_link.STL,1,0,0,1,0,0,0,0,0,0,package://description/meshes/camera_link.STL,,camera-1,Origin_camera_joint,,camera_joint,fixed,-0.056159,-0.069676,0.34735,1.5478,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_link,-0.00016329,0.0005724,0.12219,0,0,0,0.18368,6.7746E-05,-3.5606E-07,2.9723E-08,6.732E-05,-1.6764E-08,0.000122,0,0,0,0,0,0,package://description/meshes/lidar_link.STL,1,0,0,1,0,0,0,0,0,0,package://description/meshes/lidar_link.STL,,HARD_Lidar-1,Origin_lidar_joint,,lidar_joint,fixed,0.00072357,-0.084809,0.1763,0,0,0,base_link,0,0,0,,,,,,,,,,,,
wheel_R_link,-5.5511E-17,0,-6.6266E-16,0,0,0,0.29729,0.0003148,-4.9727E-20,9.5734E-36,0.00059864,-3.7036E-20,0.0003148,0,0,0,0,0,0,package://description/meshes/wheel_R_link.STL,0,0,0,1,0,0,0,0,0,0,package://description/meshes/wheel_R_link.STL,,MainWheel-6,Origin_wheel_R_joint,,wheel_R_joint,continuous,-0.18912,0,0.10806,1.5708,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
wheel_L_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://description/meshes/wheel_L_link.STL,0,0,0,1,0,0,0,0,0,0,package://description/meshes/wheel_L_link.STL,,MainWheel-5,Origin_wheel_L_joint,,wheel_L_joint,continuous,0.18912,0,0.10806,1.5708,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
